fco(MPa), d(mm), L(mm), ff(MPa), Ef(GPa), tf(mm), fcc(MPa)
39,152,305,2900,120,0.6,85
39,152,305,2900,120,0.6,87.6
100,152,305,2900,120,0.8,122.3
102,152,305,2900,120,0.8,118.7
106,152,305,2900,120,1.2,154.7
106,152,305,2900,120,1.2,153.2
39.2,152,305,3732,115.2,0.169,61.4
39.2,152,305,3732,115.2,0.169,62.7
39.2,152,305,3732,115.2,0.169,55.8
39.2,152,305,3732,115.2,0.338,90.1
39.2,152,305,3732,115.2,0.338,88.3
39.2,152,305,3732,115.2,0.338,83.3
39.2,152,305,3732,115.2,0.507,113.2
39.2,152,305,3732,115.2,0.507,116.3
39.2,152,305,3732,115.2,0.507,118
109.8,152,305,2900,120,1.2,175.9
109.8,152,305,2900,120,1.2,151.6
109.8,152,305,2900,120,1.2,172.2
70,100,200,2930,99,0.6,70.5
79.5,100,200,2930,99,0.6,80.9
85.5,100,200,2930,99,0.6,87.6
80.5,100,200,2930,99,0.6,82.4
78,100,200,2930,99,0.6,79.1
74,100,200,2930,99,0.6,74.5
83,100,200,2930,99,0.6,108.3
83,100,200,2930,99,0.6,111.6
85.9,100,200,2930,99,0.6,117.3
85.9,100,200,2930,99,0.6,176.2
83,100,200,2930,99,0.6,154.9
85.9,100,200,2930,99,0.6,176.6
49.4,152,305,2900,116,0.6,104.6
49.4,152,305,2900,116,0.6,107.9
49.4,152,305,2900,116,0.6,106.3
49.4,152,305,2900,116,0.6,109.9
49.4,152,305,2900,116,0.6,109.9
49.4,152,305,2900,116,0.6,110.7
49.4,152,305,2900,116,0.6,109
49.4,152,305,2900,116,0.6,103.4
49.4,152,305,2900,116,0.6,105.3
49.4,152,305,2900,116,0.6,107.7
49.4,152,305,2900,116,0.6,104
49.4,152,305,2900,116,0.6,110.1
37,100,200,2663,125.7,0.2,70.6
35.5,100,200,2663,125.7,0.2,65.5
34,100,200,2663,125.7,0.2,62.8
37.2,100,200,2930,99,0.3,89.1
37.2,100,200,2930,99,0.3,91.9
35.4,100,200,2930,99,0.3,86.7
85.9,100,200,2663,125.7,0.4,121.3
82.4,100,200,2663,125.7,0.4,107.3
82.4,100,200,2663,125.7,0.4,112.3
85.9,100,200,2663,125.7,0.6,148.2
85.9,100,200,2663,125.7,0.6,154.3
85.9,100,200,2663,125.7,0.6,159.7
85.9,100,200,2930,99,0.6,176.2
83,100,200,2930,99,0.6,154.9
85.9,100,200,2930,99,0.6,176.6
79.6,152,305,2663,125.7,0.6,105
77.2,152,305,2663,125.7,0.6,102
77,152,305,2663,125.7,0.6,118
110.1,100,200,2663,125.7,0.6,154.8
110.1,100,200,2663,125.7,0.6,150.9
110.1,100,200,2663,125.7,0.6,156.6
110.1,100,200,2663,125.7,0.8,183.8
110.1,100,200,2663,125.7,0.8,190.9
110.1,100,200,2663,125.7,0.8,198.8
110.1,100,200,2930,99,0.9,232.4
110.1,100,200,2930,99,0.9,224.1
110.1,100,200,2930,99,0.9,244.6
104.5,152,305,2663,125.7,1.2,164.3
104.5,152,305,2663,125.7,1.2,168.7
104.5,152,305,2663,125.7,1.2,178.9
83.6,100,200,2900,116,0.4,113.6
77.9,152,305,2900,116,0.6,108.3
110.1,100,200,2900,116,0.8,187.4
104.5,152,305,2900,116,1.2,173.8
35.5,100,200,2900,116,0.2,66.3
110.1,100,200,2900,116,0.6,154.1
85.9,100,200,2900,116,0.6,154.1
36.6,100,200,2900,116,0.3,89.2
84.9,100,200,2900,116,0.6,169.2
110.1,100,200,2900,116,0.9,233.7
102.2,152,305,2900,116,0.8,122.3
49.4,152,305,2900,116,0.6,106.3
49.4,152,305,2900,116,0.6,105.9
57.5,152,305,2390,128.5,0.2,59.3
55.2,152,305,2390,128.5,0.2,57.4
55.2,152,305,2390,128.5,0.2,53.3
55.2,152,762,2390,128.5,0.2,56
55.2,152,762,2390,128.5,0.2,60.3
55.2,152,762,2390,128.5,0.2,61.5
57.5,152,152,2390,128.5,0.4,100
57.5,152,152,2390,128.5,0.4,96.3
57.5,152,152,2390,128.5,0.4,94.8
55.2,152,305,2390,128.5,0.4,79.1
55.2,152,305,2390,128.5,0.4,79.5
55.2,152,305,2390,128.5,0.4,80.7
57.5,152,762,2390,128.5,0.4,87.7
57.5,152,762,2390,128.5,0.4,87.6
57.5,152,762,2390,128.5,0.4,93.4
110.2,152,305,2390,128.5,0.6,110.5
110.2,152,305,2390,128.5,0.6,112.4
114.7,152,305,2390,128.5,0.6,126.6
114.7,152,762,2390,128.5,0.6,120.1
114.7,152,762,2390,128.5,0.6,123.3
119.3,152,762,2390,128.5,0.6,130.3
119.3,152,152,2390,128.5,0.8,201.4
114.7,152,152,2390,128.5,0.8,177.8
110.2,152,152,2390,128.5,0.8,195.3
110.2,152,305,2390,128.5,0.8,159.1
119.3,152,305,2390,128.5,0.8,158.6
119.3,152,305,2390,128.5,0.8,170.7
119.3,152,457,2390,128.5,0.8,169.7
119.3,152,457,2390,128.5,0.8,162.1
119.3,152,457,2390,128.5,0.8,158.5
119.3,152,762,2390,128.5,0.8,150.8
110.2,152,762,2390,128.5,0.8,166.1
119.3,152,762,2390,128.5,0.8,154.9
29.6,152,305,2390,128.5,0.2,52.5
29.6,152,305,2390,128.5,0.2,50.3
29.6,152,305,2390,128.5,0.2,50.5
49.6,152,305,2390,128.5,0.4,83.1
49.6,152,305,2390,128.5,0.4,87.2
49.6,152,305,2390,128.5,0.4,84
74.1,152,305,2390,128.5,0.6,123.5
74.1,152,305,2390,128.5,0.6,126.4
98,152,305,2390,128.5,0.8,125.8
98,152,305,2390,128.5,0.8,130.9
98,152,305,2390,128.5,0.8,132.8
18.9,200,750,2900,120,0.2,36.33
50.64,100,450,1150,31.2,0.507,60.61
50.64,150,210,2900,62.2,1.4,84.3
110.1,105,200,2900,31.2,0.507,116.13
107.3,76,210,2059,118,0.44,56
44.7,105,305,2707,120,0.2,86.07
43,150,200,2323,62.2,5.21,69.2
28.79,152,152,3732,115,3.86,47.3
84.9,100,582,2059,115.2,0.4,74.5
29.6,105,210,2060,115,2.1,61.56
77,70,200,2323,116,0.143,66.3
106,194,750,2667,128.5,0.6,170.7
109.8,70,210,2059,97.1,0.7,79.81
104.5,194,582,602,13.6,0.191,111.6
77.9,100,762,3732,97.1,1.2,83.3
107.3,70,300,2930,97.1,0.572,48.15
49.4,152,450,2663,62.2,0.6,130.9
101.18,70,300,2589,120,0.338,109.9
114.7,194,210,602,118,1.2,112.3
23.1,200,315,230,115.2,0.15,126.6
44.7,150,450,2323,116,0.2,113.6
101.18,200,457,2663,13.6,2.1,201.4
49.6,100,305,602,31.2,0.29,159.7
74.1,105,315,2060,115,0.4,154.8
110.2,105,457,230,120,1.2,69.2
105,70,200,2707,13.6,3.8,104.6
102.2,100,450,2059,115,0.071,36.33
44.7,76,300,2707,120,0.9,111.43
49.6,152,762,602,118,0.8,190.9
80.5,70,210,1150,13.6,0.286,50.5
36.2,100,300,2060,125.7,0.143,100
109.8,150,300,2390,125.7,2.8,159.1
98,70,305,602,118,2.8,80.7
70,152,305,2323,62.2,0.143,185.78
85.9,150,305,2663,115.2,1.27,192.21
83,70,762,230,62.2,1.4,105.9
79.5,194,315,2663,99,0.2,166.1
30.2,100,200,2060,116,0.507,39
98,200,457,2930,115.2,1.2,105
101.18,150,762,2663,120,0.338,109
105,100,305,602,99,0.338,132.8
83.6,150,300,2900,120,0.572,204.51
106,152,450,2663,120,0.6,167.05
37,200,305,2390,118,0.338,88.65
84.9,70,457,1150,99,0.3,111.24
44.7,100,300,3732,125.7,0.8,153.2
36.2,70,200,2900,87.3,0.095,195.3
29.6,100,450,2323,62.2,2.56,76.85
39.2,194,450,2707,118,0.057,198.8
79.5,152,210,2667,87.3,0.6,47.3
70,152,762,602,118,3.8,80.7
43,105,750,3732,118,2.1,123.5
44,152,315,230,31.2,0.286,118.7
29.6,100,210,3732,62.2,0.858,105.3
85.9,105,315,2323,87.3,0.29,70.44
102,70,300,2323,125.7,2.8,84.3
28.79,105,210,2930,87.3,1.27,70.44
55.2,194,300,1150,125.7,0.286,170.7
78.5,194,450,2663,115,4.3,121.3
36.6,105,210,3732,116,0.6,128.49
83,152,200,2900,128.5,0.095,50.5
102.2,200,457,2059,116,0.507,175.9
34,105,315,2707,115,0.072,123.27
50.64,194,450,602,125.7,3.8,103.4
29.6,70,300,2323,116,2.56,224.1
100,150,305,2930,118,0.4,168.7
50.64,105,200,1150,118,0.191,62.8
29.6,152,315,2707,120,0.4,78.26
18.9,194,152,2589,31.2,0.44,104.6
77.9,70,300,2667,31.2,0.507,159.7
18.9,76,315,230,115.2,0.507,116.3
110.1,150,305,2390,125.7,0.338,80.7
39,194,305,2060,13.6,0.071,66.3
39,70,457,1150,31.2,0.507,162.1
114.7,194,762,2059,118,0.15,96.3
85.5,76,457,3732,120,0.286,159.7
43,76,152,3732,97.1,0.169,128.49
43,150,200,2390,62.2,0.057,61.5
78.5,194,200,2663,31.2,1.2,148.2
102.2,150,457,2060,120,0.7,109.9
36.6,150,315,2060,120,0.095,47.37
110.1,70,315,2707,99,0.507,47.77
74.1,194,762,2707,125.7,2.56,116.3
102,152,305,2323,116,0.191,111.43
104.5,105,210,2060,118,0.143,80.7
36.6,100,305,2663,115.2,0.6,244.6
85.9,152,300,2663,118,0.191,59.3
82.4,70,200,3732,118,0.143,151.6
85.9,105,762,2707,118,2.56,78.26
51.1,150,450,3732,87.3,3.8,69.2
114.7,150,750,2663,62.2,0.072,123.3
110.2,70,305,2900,115,0.286,80.7
44.7,105,200,2900,115.2,2.8,126.6
82.4,152,152,2900,116,1.27,154.5
23.1,150,200,2663,120,0.29,86.07
79.5,105,762,2667,31.2,0.29,232.4
51.1,152,305,2707,120,0.095,47.3
49.6,100,200,2589,120,1.4,87.6
102,100,200,2900,128.5,0.15,172.2
50.64,194,457,2323,87.3,0.191,123.5
102.2,70,750,2323,120,1.27,70.44
35.5,76,582,2930,13.6,0.286,109.9
23.1,76,305,1150,31.2,3.8,195.3
18.9,70,152,2707,99,0.169,55.8
84.9,150,210,2390,13.6,0.072,88.65
82.4,100,457,230,115.2,0.572,154.1
77,76,210,2060,115,0.8,60.61
35.5,70,305,2930,13.6,3.86,195.3
49.6,100,152,2663,62.2,1.27,93.4
83,105,762,2589,115.2,0.2,45.2
106,150,450,2663,87.3,0.4,50.3
44,200,457,1150,128.5,1.4,50.28
37.2,76,457,2707,115,0.143,107.7
78,70,305,602,87.3,0.29,177.8
80.5,105,210,2930,128.5,0.7,52.5
43,194,457,2663,118,0.143,69.2
79.6,70,200,602,99,0.8,74.8
101.18,194,300,230,125.7,5.21,61.56
104.5,100,152,2390,99,0.143,103.45
23.1,194,457,2059,13.6,1.2,177.8
114.7,70,457,230,115.2,0.072,176.2
79.5,100,200,2667,115,0.057,89.1
83,100,200,2390,116,0.6,170.7
104.5,100,762,3732,31.2,3.8,121.3
104.5,70,210,2707,120,0.2,83.81
55.2,194,762,2667,116,0.8,50.28
100,105,200,2390,128.5,3.86,232.4
39.2,76,200,230,120,0.572,79.5
54,70,750,2667,99,0.072,84.24
47.3,200,315,2663,128.5,0.169,232.4
85.5,200,305,2930,115,0.44,158.5
119.3,200,457,602,31.2,0.44,154.3
47.3,105,315,2059,120,0.286,130.9
77.9,194,305,1150,99,0.9,87.42
79.6,100,200,2589,128.5,1.27,111.25
85.9,152,152,2390,120,0.338,187.4
46.43,152,750,2390,125.7,0.507,166.1
28.79,150,762,2930,62.2,0.858,243.86
35.4,152,457,230,125.7,0.4,192.21
51.1,152,750,230,125.7,1.27,105.3
44.7,100,200,3732,31.2,0.572,47.37
79.6,200,762,2663,97.1,3.8,74.8
84.9,200,300,230,97.1,0.143,79.1
119.3,105,200,230,99,0.507,192.21
44.7,152,305,3732,99,0.9,47.37
37.2,105,762,2663,62.2,0.169,103.45
43,152,750,2667,62.2,0.7,118.7
50.64,100,152,230,120,2.1,130.3
49.4,105,750,2900,99,0.572,101.2
110.1,70,750,602,13.6,0.507,69.2
35.6,100,210,3732,115.2,3.86,75.3
35.5,194,305,3732,125.7,0.2,53.3
85.9,150,300,602,99,0.169,154.8
98,100,300,2390,87.3,0.3,120.1
70,70,762,1150,118,1.2,154.3
37,152,750,2663,125.7,0.169,45.2
23.1,152,750,2390,87.3,0.29,154.7
30.2,150,457,2707,116,0.8,107.7
44.7,194,762,2900,62.2,0.6,204.51
44,200,457,2667,125.7,0.072,162.1
49.6,70,210,2323,99,0.858,106.3
36.2,152,200,2390,115.2,0.071,46.32
102.2,150,200,2323,99,0.4,201.4
28.79,100,200,2390,128.5,0.858,92.1
78.5,150,210,2930,115,0.057,70.5
43,150,457,2390,116,0.072,46.32
110.1,152,210,2323,116,0.507,166.1
102.2,100,305,2663,13.6,0.095,176.6
39,105,305,3732,62.2,0.286,82.4
54,150,305,2900,128.5,0.8,151.2
35.5,200,210,2900,115,0.071,123.5
110.1,105,305,2667,13.6,0.15,74.5
37,70,300,3732,116,0.15,80.67
30.2,200,200,2663,128.5,0.143,150.8
46.43,150,305,3732,115,0.057,62.7
85.9,105,300,2059,87.3,2.8,233.7
37.2,70,582,2900,87.3,0.507,45.2
29.6,100,210,2059,99,5.21,50.7
102.2,200,305,2323,118,4.3,123.27
84.9,105,450,2059,13.6,0.572,80.7
18.9,76,750,2390,115.2,0.169,118
83,200,305,602,31.2,0.191,176.2
46.43,200,152,2059,115,0.2,78.59
18.9,152,305,3732,115,3.8,96.02
46.43,152,305,2900,13.6,0.6,47.77
39.2,200,200,2059,120,0.44,224.1
35.6,76,200,2390,115,0.2,70.5
29.6,76,762,602,116,0.29,156.6
107.3,150,300,2390,120,2.1,112.4
54,100,305,1150,125.7,5.21,154.9
33.3,194,582,2667,97.1,0.507,92.1
30.2,150,300,2589,116,5.21,167.05
36.2,100,305,2667,120,2.1,89.1
47.3,194,762,1150,118,0.286,130.9
109.8,105,762,2323,118,0.8,69.2
114.7,200,750,3732,120,0.15,176.2
54,194,315,230,31.2,0.072,151.6
49.4,152,762,2667,62.2,1.27,52.23
36.2,76,750,3732,99,1.27,52.24
29.6,150,450,2663,99,1.2,50.3
35.6,100,152,2900,125.7,0.057,107.7
46.43,105,200,3732,13.6,2.56,88.65
100,105,315,2059,99,2.8,121.3
55.2,194,457,2930,120,2.56,111.25
36.2,194,750,2900,115,0.072,167.05
78,152,305,602,115.2,0.29,79.81
39,200,300,2707,97.1,0.4,74.5
110.1,150,200,2059,62.2,0.286,74.53
107.3,100,762,2060,120,0.507,74.53
78,105,762,2589,97.1,0.057,70.5
84.9,194,305,602,120,1.4,78.59
78.5,100,582,602,115,3.8,79.5
74.1,76,762,1150,115.2,0.169,84.24
85.9,152,210,2059,125.7,0.7,90.1
78,76,152,2663,118,0.9,110.5
109.8,76,582,2663,31.2,1.27,50.28
83,152,315,1150,120,3.86,224.1
79.6,200,457,2930,115.2,4.3,62.7
37,100,305,230,87.3,0.8,118.33
78,105,210,2060,118,0.9,177.8
39,70,300,2707,87.3,0.15,45.2
106,152,762,2667,116,0.8,101.61
110.2,100,200,2060,120,0.071,80.9
50.64,150,762,2663,128.5,0.286,107.9
51.1,200,200,2663,97.1,3.8,148
85.9,70,750,2060,125.7,0.572,79.5
83,200,210,2707,118,0.572,52.24
109.8,100,200,2930,87.3,0.191,84.3
28.79,100,305,2900,99,0.8,50.5
54,100,300,602,120,0.286,169.7
35.6,150,762,2707,116,0.6,88.3
78,150,457,2323,99,0.7,82.4
46.4,150,305,2663,62.2,0.143,83.1
82.4,194,200,2323,128.5,3.8,80.9
79.5,152,200,2323,31.2,1.27,121.3
36.2,100,450,2663,118,0.44,156.6
44.7,150,210,2390,62.2,0.071,112.3
114.7,150,200,3732,31.2,2.1,70.44
74,200,450,3732,87.3,0.15,61.56
74.1,150,305,2663,13.6,1.27,91.9
50.64,152,457,2663,116,0.44,86.7
49.6,70,210,2059,31.2,0.7,50.28
79.6,194,200,2667,115.2,1.2,224.1
70,152,300,2059,115.2,2.1,103.9
79.5,194,210,2059,118,0.507,83.3
85.9,200,210,230,120,1.2,62.32
78.5,105,315,2060,31.2,0.15,74.4
80.5,152,582,2667,99,0.8,126.4
35.5,152,762,2390,13.6,1.2,169.2
84.9,200,582,2059,87.3,4.3,167.05
57.5,70,300,2060,115,2.56,123.3
85.9,152,315,2707,128.5,1.2,154.7
84.9,100,210,3732,99,2.1,69.2
39,100,200,2390,120,1.2,53.7
110.2,70,305,2707,62.2,0.6,154.9
46.43,200,750,230,99,0.286,128.49
18.9,100,750,230,118,0.7,110.7
36.6,152,305,1150,13.6,0.8,132.8
47.3,152,152,2663,118,1.4,110.7
78.5,100,315,602,87.3,5.21,111.6
43,70,750,2060,120,0.143,83.81
54,100,200,602,120,0.169,154.7
110.1,194,315,2667,115,0.072,154.8
57.5,105,210,2589,31.2,0.338,84
36.6,70,457,2667,118,5.21,70.5
29.6,152,200,1150,97.1,0.8,91.9
28.79,100,305,2390,116,0.4,243.86
114.7,152,305,2060,31.2,0.8,232.4
104.5,194,315,2663,115.2,0.072,244.6
30.2,70,750,2390,120,0.44,176.6
83,70,582,1150,99,0.2,96.3
54,152,300,2059,62.2,2.56,35.16
74.1,200,200,2390,87.3,0.15,107.3
70,70,210,2323,118,0.44,158.5
78,194,305,230,97.1,0.071,68.5
39,200,152,2390,99,5.21,53.7
74.1,76,457,2059,118,0.3,70.5
84.9,70,210,1150,115,0.4,80.67
109.8,150,762,2060,13.6,0.286,125.8
80.5,100,450,2900,31.2,0.169,116.3
34,150,305,2667,118,0.4,201.4
43,70,152,3732,115,0.507,62.8
23.1,150,305,1150,115,0.15,61.4
78.5,70,582,2930,118,2.8,80.67
43,152,210,2667,116,0.2,158.6
39.2,76,210,3732,116,1.2,118.33
54,152,210,2663,99,0.3,45.2
57.5,150,152,2390,116,0.286,91.9
33.3,70,210,3732,99,4.3,172.2
34,100,582,3732,62.2,0.095,185.78
82.4,150,300,2930,115,0.169,121.3
102,70,300,1150,116,0.572,104.6
37,194,305,2707,125.7,1.27,132.8
102.2,100,750,602,120,2.1,62.7
49.4,152,300,2059,128.5,0.286,177.8
49.6,150,210,2323,99,0.286,176.2
74,100,300,2390,118,0.071,159.7
107.3,70,300,2663,120,0.143,87.7
46.4,150,457,602,118,0.572,170.7
98,70,210,2900,120,0.858,74.53
114.7,150,762,2059,115,2.1,187.4
49.6,100,152,2663,125.7,0.858,185.78
85.5,200,315,2663,13.6,0.7,78.59
102,152,300,2059,31.2,0.169,136.89
50.64,76,762,3732,128.5,0.071,50.5
74.1,70,300,2930,13.6,0.072,56.99
30.2,150,750,2707,31.2,1.2,84
55.2,70,305,2663,118,0.072,154.1
39,100,200,2060,125.7,0.143,195.3
37.2,100,315,2060,97.1,0.071,176.2
74.1,105,305,2900,13.6,0.071,70.44
109.8,152,750,2930,31.2,0.191,192.21
79.5,150,762,602,115,0.572,84
79.5,100,762,2059,116,0.072,113.6
119.3,100,457,2667,116,0.095,48.15
114.7,194,300,230,31.2,0.507,123.27
102.2,150,582,2663,120,3.8,167.05
98,70,300,2930,31.2,0.286,83.1
34,150,305,602,97.1,4.3,79.5
77.2,70,210,2323,118,0.572,71
84.9,152,200,2323,97.1,0.169,50.28
33.3,70,152,2059,31.2,2.56,86.7
70,150,200,2060,128.5,5.21,132.8
35.6,150,750,2930,97.1,0.143,87.42
114.7,152,762,2707,116,0.2,53.3
35.5,152,300,2060,97.1,0.8,150.5
105,70,300,1150,97.1,0.143,87.7
104.5,152,762,2667,13.6,0.44,74.53
102.2,194,210,2900,31.2,0.858,83.1
77.2,152,300,2900,125.7,0.3,88.3
49.4,200,457,2667,125.7,0.3,61.5
44,100,300,2059,128.5,0.572,56.99
105,150,457,2930,87.3,0.6,84
18.9,100,315,2900,118,0.2,87.2
47.3,105,582,2059,118,0.7,125.8
77,76,305,2930,118,2.56,39
83.6,194,457,1150,116,0.858,111.25
36.6,150,750,3732,31.2,0.15,79.81
44.7,194,450,2930,97.1,0.44,154.1
83,76,762,2390,62.2,0.057,52.5
54,152,315,1150,62.2,1.4,62.7
100,70,210,2060,120,1.2,170.7
35.4,152,305,230,115.2,0.507,233.7
37.2,200,582,3732,62.2,0.6,100
43,100,762,2707,97.1,0.15,123.27
43,70,762,602,125.7,0.169,148.2
47.3,100,305,2059,31.2,2.8,130.9
82.4,100,315,2059,120,3.8,66.3
35.5,100,200,2930,128.5,4.3,243.92
77,100,450,3732,99,1.4,59.3
47.3,105,750,2707,87.3,0.143,172.2
46.43,200,750,2390,120,0.2,83.81
98,194,305,602,120,0.7,162.1
28.79,200,300,2667,99,0.8,61.56
119.3,100,762,602,99,0.3,154.7
43,70,315,602,116,0.858,122.3
36.6,200,315,3732,128.5,5.21,104
44,200,457,2323,118,0.071,82.4
70,150,300,2059,97.1,0.4,107.3
39,152,762,2060,128.5,0.6,102
104.5,105,582,2663,115.2,2.1,90.1
74,105,762,2060,62.2,2.1,110.1
78,152,200,2323,125.7,5.21,105.3
79.5,150,300,2663,87.3,0.286,110.7
37.2,194,315,2900,99,1.27,83.3
54,70,305,2390,116,0.15,169.7
43,100,210,230,115.2,0.507,93.4
82.4,100,457,2059,97.1,0.6,85
84.9,70,305,602,118,0.057,183.8
74.1,152,200,2667,115.2,2.56,154.3
39,70,750,1150,115,0.572,233.7
102.2,194,200,2663,31.2,2.1,111.24
37,194,582,2323,125.7,1.27,91.9
29.6,152,750,2060,128.5,1.27,70.6
100,100,200,2059,120,2.1,177.8
101.18,152,305,2390,115,0.572,83.3
114.7,150,762,602,128.5,0.44,61.4
49.6,152,200,2707,115.2,0.2,91.9
74.1,100,582,3732,115.2,0.15,151.6
35.5,100,300,3732,115,1.2,116.3
85.9,105,582,602,128.5,0.2,66.3
55.2,152,305,2059,31.2,0.191,120.1
46.4,194,450,602,99,0.572,52.23
102.2,105,750,3732,128.5,2.1,101.61
85.5,150,305,602,115.2,0.338,154.9
101.18,200,457,2707,118,0.095,111.43
30.2,100,457,2663,115.2,0.169,45.2
43,152,315,2589,99,0.44,47.37
23.1,100,750,2900,125.7,0.4,87.42
18.9,70,152,2060,118,1.2,154.3
54,150,762,2589,125.7,0.507,80.9
83,105,450,602,62.2,0.507,47.3
36.6,194,762,2900,115,1.27,103.9
57.5,150,750,602,62.2,2.8,154.3
30.2,152,200,2390,99,0.072,178.9
77,150,152,2663,62.2,0.15,167.05
47.3,70,582,1150,116,0.2,52.23
79.5,70,750,2900,115.2,3.8,176.6
77.2,200,200,230,31.2,0.095,128.49
18.9,152,300,2390,62.2,0.191,170.7
30.2,150,315,2663,31.2,0.572,96.02
37.2,152,315,2589,115,1.2,132.8
46.4,150,582,3732,97.1,0.8,244.6
78.5,200,305,2323,120,2.56,113.2
30.2,152,305,2060,62.2,2.1,162.1
44.7,194,300,2390,62.2,3.8,62.7
114.7,150,450,2707,115.2,0.143,136.89
105,152,300,3732,31.2,0.572,88.65
114.7,200,152,2930,118,0.191,186.35
35.6,200,450,602,125.7,3.86,158.5
33.3,105,300,2390,115.2,0.44,50.5
74.1,100,300,2900,118,0.143,162.1
43,150,210,2663,99,0.15,186.35
46.4,105,200,2323,116,0.858,201.4
30.2,200,305,2663,115.2,0.572,83.81
50.64,70,762,2707,115,1.4,164.3
78.5,152,750,230,120,0.2,192.21
54,100,300,3732,31.2,4.3,101.2
110.1,105,300,3732,13.6,0.7,86.07
82.4,150,305,2589,62.2,5.21,59.3
49.6,194,315,2390,97.1,0.286,96.02
51.1,152,582,2930,116,0.8,130.3
104.5,70,762,2323,128.5,1.27,111.24
30.2,150,582,1150,99,0.7,36.33
30.2,100,305,2060,116,0.858,156.6
57.5,150,582,2663,125.7,0.072,204.51
49.4,70,200,2060,62.2,0.169,92.1
