fco,epsco,D,L,ff,Ef,tf,epscu
114.7,0.35,150,152,2060,115.2,0.572,3.18
28.79,0.45,150,152,3732,125.7,0.4,1.44
49.4,0.25,194,450,2663,99.0,0.507,2.12
46.43,0.24,150,152,2900,116.0,3.86,1.48
39.0,0.2,150,450,2930,99.0,0.095,3.11
39.0,0.34,105,762,230,125.7,0.169,2.33
50.64,0.25,152,315,2060,116.0,0.3,0.52
39.2,0.28,70,305,230,120.0,0.6,3.1
83.6,0.3,152,152,2900,120.0,0.2,0.36
83.6,0.35,100,300,2060,116.0,0.095,0.6
57.5,0.45,152,450,2930,120.0,3.86,2.53
109.8,0.23,194,300,2060,118.0,0.9,2.86
107.3,0.21,105,582,3732,125.7,0.169,2.33
50.64,0.24,70,582,2390,13.6,0.572,1.87
79.6,0.26,70,582,2930,115.2,0.3,0.91
29.6,0.45,152,210,2900,118.0,0.8,2.77
74.0,0.23,152,762,2060,99.0,0.507,1.7
55.2,0.3,70,300,2390,120.0,0.9,2.89
39.2,0.25,152,152,3732,128.5,0.4,1.67
43.0,0.31,105,582,2390,116.0,0.572,1.75
83.6,0.19,105,457,2930,116.0,1.27,1.89
49.4,0.46,194,450,2390,13.6,0.169,1.89
80.5,0.3,194,582,2900,115.2,0.286,1.44
77.9,0.19,105,305,2930,13.6,0.2,0.39
119.3,0.26,100,450,2900,115.2,1.2,2.47
100.0,0.34,105,305,2663,99.0,0.072,2.32
110.1,0.46,100,305,2900,120.0,2.56,3.1
83.6,0.29,152,152,230,128.5,0.6,3.21
104.5,0.25,152,152,230,128.5,0.191,2.48
39.2,0.24,152,457,2930,120.0,0.169,2.31
102.0,0.34,70,457,3732,118.0,0.169,1.61
78.0,0.26,70,300,3732,118.0,0.2,3.21
83.0,0.19,70,582,2390,128.5,0.572,0.58
49.4,0.46,70,305,2390,115.2,0.507,2.3
83.0,0.25,105,200,2930,99.0,0.143,2.31
43.0,0.21,150,762,230,115.2,0.3,2.86
77.0,0.23,150,152,2663,115.2,0.507,1.66
51.1,0.2,152,457,2930,128.5,0.143,2.32
101.18,0.35,105,152,2930,125.7,0.9,2.34
110.2,0.45,100,315,2060,115.2,0.6,1.48
47.3,0.21,105,315,2930,120.0,0.4,2.6
37.2,0.23,70,582,2663,118.0,0.572,3.21
51.1,0.23,150,152,2390,118.0,3.86,2.18
29.6,0.45,100,457,2930,13.6,3.86,0.6
78.5,0.35,105,762,2060,118.0,0.9,2.81
77.0,0.46,70,762,2930,118.0,0.6,0.46
57.5,0.46,152,300,2930,116.0,3.86,3.41
109.8,0.34,194,457,2663,125.7,0.072,1.75
100.0,0.27,152,152,2900,99.0,0.286,0.36
110.2,0.45,70,300,2930,13.6,2.56,1.87
78.5,0.31,152,305,2060,118.0,0.286,1.08
102.0,0.19,194,450,230,125.7,0.507,1.29
100.0,0.46,152,305,2900,118.0,0.858,1.68
104.5,0.34,152,762,230,116.0,0.6,0.78
101.18,0.45,100,457,2900,13.6,0.2,4.39
55.2,0.27,152,200,2663,118.0,0.191,1.62
102.0,0.23,152,762,2390,13.6,0.3,2.05
119.3,0.26,194,210,2390,128.5,3.86,2.05
79.6,0.35,100,210,2900,118.0,0.8,3.22
29.6,0.26,152,457,2663,118.0,0.572,1.4
46.43,0.35,105,315,230,118.0,0.191,1.42
50.64,0.25,70,300,2060,116.0,0.2,0.4
119.3,0.26,194,762,3732,116.0,0.338,2.31
35.4,0.19,105,582,2663,115.2,0.286,3.22
106.0,0.34,194,152,230,118.0,0.507,1.08
49.6,0.31,194,152,2390,99.0,0.6,2.95
50.64,0.24,70,210,230,120.0,0.072,1.87
37.0,0.3,100,457,2390,125.7,0.095,2.32
51.1,0.31,100,315,2663,13.6,0.095,1.45
110.2,0.26,105,152,3732,115.2,0.072,1.78
28.79,0.23,105,300,2060,125.7,0.095,0.37
78.5,0.27,150,300,2390,125.7,0.858,1.25
79.6,0.35,70,300,2060,99.0,0.6,2.86
49.6,0.28,150,305,2060,125.7,0.338,0.88
85.9,0.35,100,315,2900,13.6,0.2,0.95
35.5,0.28,100,315,2663,125.7,0.057,2.6
80.5,0.21,194,762,2663,125.7,0.4,2.47
77.2,0.35,194,315,2060,128.5,0.095,1.98
106.0,0.24,152,762,2900,115.2,0.286,1.42
85.9,0.29,70,200,3732,125.7,0.8,1.75
100.0,0.19,105,305,2663,128.5,0.858,2.53
110.1,0.35,194,305,3732,118.0,0.9,2.09
104.5,0.33,152,305,2390,99.0,0.143,2.48
85.9,0.28,152,200,2060,116.0,0.858,0.89
49.4,0.29,150,762,2663,116.0,0.4,3.01
49.6,0.23,152,300,2060,120.0,0.057,1.42
46.43,0.24,105,300,2900,120.0,0.338,2.81
35.5,0.24,152,762,2663,118.0,0.2,3.8
28.79,0.3,194,762,2060,13.6,0.057,2.05
83.6,0.25,194,315,2930,99.0,0.286,0.53
49.6,0.34,105,450,2060,115.2,0.2,3.11
50.64,0.21,150,450,2930,118.0,0.572,0.37
43.0,0.24,194,762,2390,13.6,0.858,1.97
80.5,0.46,150,152,2930,125.7,0.858,1.08
110.2,0.35,152,582,230,128.5,0.057,3.01
39.2,0.2,100,315,2900,128.5,0.3,2.89
80.5,0.23,150,457,2900,115.2,0.3,1.92
104.5,0.33,70,315,2390,115.2,1.2,4.6
28.79,0.23,152,200,230,99.0,0.286,2.96
36.6,0.19,194,457,2663,120.0,0.858,1.02
74.0,0.24,152,450,2060,120.0,0.338,0.53
102.2,0.26,150,152,2060,118.0,0.572,2.01
35.4,0.23,70,200,2930,118.0,0.286,1.29
28.79,0.25,150,300,2900,128.5,3.86,3.04
36.6,0.31,150,762,2060,116.0,0.9,1.65
78.0,0.46,100,200,2900,13.6,0.8,2.31
46.43,0.24,100,457,2663,128.5,0.507,1.11
100.0,0.46,70,200,3732,13.6,0.095,2.96
57.5,0.45,100,762,2060,125.7,0.858,3.41
35.4,0.21,100,450,2663,125.7,0.2,1.96
39.0,0.29,152,305,230,118.0,2.56,3.68
77.2,0.45,152,152,2390,99.0,2.56,2.05
77.9,0.3,105,305,2900,115.2,0.572,1.58
100.0,0.21,105,210,3732,120.0,0.169,0.37
80.5,0.46,150,300,3732,120.0,1.2,1.63
49.4,0.28,152,457,2900,120.0,0.572,2.81
104.5,0.3,150,457,2060,115.2,1.2,3.18
82.4,0.34,105,450,2663,128.5,0.9,0.45
102.0,0.28,150,762,2060,128.5,0.2,2.21
110.1,0.21,105,305,2390,125.7,0.2,2.32
57.5,0.21,70,300,2060,116.0,0.4,0.91
28.79,0.45,100,300,2900,118.0,1.2,1.62
35.5,0.31,194,457,2390,125.7,1.2,0.4
37.2,0.26,100,582,3732,99.0,0.8,4.39
28.79,0.24,105,210,2900,13.6,0.072,2.6
110.2,0.24,152,305,2930,115.2,3.86,1.15
109.8,0.31,152,582,2060,115.2,2.56,0.63
50.64,0.21,194,762,2663,13.6,2.56,2.48
77.2,0.31,100,210,2900,116.0,0.858,2.31
50.64,0.3,105,305,2900,118.0,0.8,4.6
39.2,0.24,105,152,2900,115.2,0.9,1.62
55.2,0.19,194,450,2930,118.0,0.057,1.88
57.5,0.33,105,457,3732,120.0,0.4,0.46
35.5,0.28,100,762,2390,99.0,0.858,0.36
114.7,0.2,150,200,2663,13.6,1.27,2.49
119.3,0.26,105,762,2390,116.0,1.2,0.45
85.9,0.34,100,582,230,120.0,2.56,3.31
104.5,0.21,194,450,2930,99.0,0.286,0.91
100.0,0.21,100,210,2390,120.0,0.2,2.98
28.79,0.28,70,152,2663,118.0,0.3,0.39
39.2,0.23,105,450,2900,118.0,0.6,1.49
114.7,0.28,70,152,2900,120.0,0.191,2.23
110.1,0.46,194,300,2390,118.0,0.858,2.89
82.4,0.25,152,457,230,118.0,0.6,1.75
84.9,0.2,152,762,2060,13.6,0.8,0.78
102.0,0.46,150,300,230,120.0,0.2,1.7
101.18,0.26,194,305,2390,13.6,0.4,1.75
49.4,0.34,105,305,230,120.0,0.338,3.18
80.5,0.46,152,762,230,116.0,2.56,0.88
46.43,0.27,105,152,2060,115.2,0.8,3.11
107.3,0.25,100,315,2900,128.5,1.2,3.41
84.9,0.45,105,152,230,99.0,0.8,2.95
83.6,0.3,150,305,2663,116.0,0.2,2.11
49.6,0.31,105,457,230,13.6,1.2,2.3
78.0,0.24,100,450,2060,99.0,0.8,3.15
85.9,0.27,105,315,2390,118.0,0.095,2.49
47.3,0.31,194,582,230,120.0,0.3,3.31
77.2,0.23,100,305,230,115.2,3.86,0.63
109.8,0.33,150,315,230,13.6,0.095,2.34
114.7,0.46,152,152,2663,118.0,0.6,1.08
85.9,0.31,194,762,2663,13.6,0.191,0.94
84.9,0.27,152,450,2930,118.0,0.4,1.89
55.2,0.2,105,305,2390,125.7,1.2,1.06
83.0,0.21,152,450,2390,116.0,0.858,2.53
85.9,0.35,194,582,230,115.2,0.143,0.53
78.5,0.24,70,582,2663,13.6,0.8,0.91
114.7,0.45,105,300,2900,118.0,0.143,2.12
104.5,0.25,152,305,2900,13.6,0.338,1.75
49.6,0.35,150,305,2390,118.0,0.4,3.31
104.5,0.2,70,315,230,128.5,0.338,0.57
46.43,0.34,152,300,2930,115.2,0.143,1.49
77.9,0.45,70,450,3732,120.0,0.169,2.98
82.4,0.45,100,457,2663,115.2,1.27,2.3
47.3,0.45,150,210,2930,125.7,0.169,0.88
55.2,0.35,100,305,3732,128.5,2.56,0.88
84.9,0.25,105,450,2930,120.0,1.27,3.39
114.7,0.35,150,210,3732,115.2,0.6,2.01
46.43,0.2,70,300,230,118.0,1.27,0.78
110.2,0.26,150,210,2390,125.7,0.143,2.18
104.5,0.3,70,582,2060,99.0,0.338,0.6
49.4,0.46,70,305,2930,13.6,0.507,2.47
79.6,0.29,194,305,230,115.2,0.9,2.98
51.1,0.19,150,457,2900,115.2,2.56,2.01
28.79,0.24,70,305,2663,128.5,3.86,3.41
47.3,0.31,152,762,3732,118.0,0.4,0.4
36.6,0.23,70,305,2930,99.0,0.072,3.48
34.0,0.31,194,152,2930,115.2,0.6,1.56
85.9,0.25,194,200,230,120.0,0.143,1.49
55.2,0.29,152,457,2930,128.5,0.2,0.53
114.7,0.24,105,762,230,120.0,0.338,1.78
29.6,0.33,100,762,3732,118.0,0.858,0.94
57.5,0.31,105,305,2390,99.0,0.338,2.05
37.0,0.29,70,300,2060,120.0,0.095,3.73
107.3,0.3,152,582,2060,13.6,3.86,1.67
109.8,0.24,150,305,2900,125.7,0.9,2.95
100.0,0.29,70,762,2060,120.0,0.286,1.49
78.5,0.35,152,200,2663,13.6,0.072,0.58
83.6,0.2,152,152,2390,115.2,0.2,1.44
110.1,0.34,194,305,2060,13.6,0.8,0.6
110.1,0.21,152,305,2060,115.2,0.169,1.78
74.0,0.3,100,762,2390,115.2,1.2,0.93
51.1,0.21,150,152,2060,128.5,0.057,1.75
119.3,0.26,100,762,2663,99.0,0.095,0.57
57.5,0.21,105,300,2900,99.0,0.072,2.18
50.64,0.3,194,315,2060,99.0,0.057,0.42
80.5,0.45,105,762,2390,115.2,0.072,1.87
78.5,0.2,70,210,2930,118.0,0.338,0.45
77.2,0.34,194,200,2930,125.7,0.572,1.48
74.0,0.29,194,300,2930,118.0,0.057,1.02
110.1,0.27,100,450,2930,125.7,1.2,0.51
34.0,0.34,100,305,2390,116.0,0.3,1.29
