fco,D,L,ff,Ef,tf,fcc
55.2,152,305,2059,31.2,0.191,120.1
46.4,194,450,602,99.0,0.572,52.23
102.2,105,750,3732,128.5,2.1,101.61
85.5,150,305,602,115.2,0.338,154.9
101.18,200,457,2707,118.0,0.095,111.43
30.2,100,457,2663,115.2,0.169,45.2
43.0,152,315,2589,99.0,0.44,47.37
23.1,100,750,2900,125.7,0.4,87.42
18.9,70,152,2060,118.0,1.2,154.3
54.0,150,762,2589,125.7,0.507,80.9
83.0,105,450,602,62.2,0.507,47.3
36.6,194,762,2900,115.0,1.27,103.9
57.5,150,750,602,62.2,2.8,154.3
30.2,152,200,2390,99.0,0.072,178.9
77.0,150,152,2663,62.2,0.15,167.05
47.3,70,582,1150,116.0,0.2,52.23
79.5,70,750,2900,115.2,3.8,176.6
77.2,200,200,230,31.2,0.095,128.49
18.9,152,300,2390,62.2,0.191,170.7
30.2,150,315,2663,31.2,0.572,96.02
37.2,152,315,2589,115.0,1.2,132.8
46.4,150,582,3732,97.1,0.8,244.6
78.5,200,305,2323,120.0,2.56,113.2
30.2,152,305,2060,62.2,2.1,162.1
44.7,194,300,2390,62.2,3.8,62.7
114.7,150,450,2707,115.2,0.143,136.89
105.0,152,300,3732,31.2,0.572,88.65
114.7,200,152,2930,118.0,0.191,186.35
35.6,200,450,602,125.7,3.86,158.5
33.3,105,300,2390,115.2,0.44,50.5
74.1,100,300,2900,118.0,0.143,162.1
43.0,150,210,2663,99.0,0.15,186.35
46.4,105,200,2323,116.0,0.858,201.4
30.2,200,305,2663,115.2,0.572,83.81
50.64,70,762,2707,115.0,1.4,164.3
78.5,152,750,230,120.0,0.2,192.21
54.0,100,300,3732,31.2,4.3,101.2
110.1,105,300,3732,13.6,0.7,86.07
82.4,150,305,2589,62.2,5.21,59.3
49.6,194,315,2390,97.1,0.286,96.02
51.1,152,582,2930,116.0,0.8,130.3
104.5,70,762,2323,128.5,1.27,111.24
30.2,150,582,1150,99.0,0.7,36.33
30.2,100,305,2060,116.0,0.858,156.6
57.5,150,582,2663,125.7,0.072,204.51
49.4,70,200,2060,62.2,0.169,92.1
28.79,105,582,1150,115.2,0.6,80.7
85.9,105,762,1150,120.0,0.338,101.61
49.6,150,305,2589,125.7,0.6,112.3
33.3,194,450,2390,87.3,0.858,132.8
30.2,76,750,2323,97.1,4.3,87.6
119.3,150,750,230,62.2,0.143,74.8
54.0,105,305,2663,118.0,1.2,50.3
85.9,200,750,3732,125.7,0.169,153.95
82.4,194,750,2390,115.0,0.572,105.3
101.18,152,762,2390,116.0,0.072,83.3
106.0,152,200,2060,62.2,0.072,45.2
43.0,105,200,2390,116.0,2.1,50.3
80.5,150,750,2323,116.0,0.858,173.8
104.5,100,450,2663,120.0,2.8,60.3
44.7,194,210,2390,118.0,0.6,90.1
119.3,194,450,2589,62.2,0.4,117.3
51.1,152,762,2589,116.0,1.27,156.6
98.0,70,315,2707,118.0,0.15,183.8
28.79,194,457,2667,115.0,0.169,93.4
114.7,194,305,2323,118.0,0.143,88.65
57.5,76,305,2663,128.5,2.56,92.1
35.6,76,305,2900,125.7,0.2,68.5
78.5,100,300,2663,128.5,1.27,53.3
102.0,100,305,2667,62.2,0.15,111.43
