fco,epsco,D,L,ff,Ef,tf,epscu
39.2,0.28,100,450,2390,125.7,0.8,1.56
114.7,0.2,152,457,2060,13.6,0.2,1.95
82.4,0.28,100,210,2060,116.0,0.057,1.67
46.43,0.31,70,582,3732,99.0,0.858,1.75
34.0,0.31,70,152,2060,125.7,0.2,2.86
34.0,0.45,100,457,230,128.5,1.2,1.78
78.5,0.28,152,210,2390,116.0,0.3,3.45
102.0,0.45,105,762,2900,128.5,1.2,1.3
55.2,0.35,100,582,2390,116.0,0.169,0.63
78.0,0.21,150,152,2390,13.6,0.9,0.37
107.3,0.21,70,300,2900,118.0,0.8,1.43
119.3,0.33,100,450,230,118.0,0.338,2.98
35.4,0.23,70,450,2390,115.2,0.095,0.82
100.0,0.45,100,315,2663,13.6,0.6,3.5
47.3,0.23,70,300,2663,125.7,0.9,3.15
47.3,0.29,100,200,3732,120.0,0.095,1.09
119.3,0.24,152,457,2930,128.5,0.572,3.22
74.0,0.23,152,305,2060,13.6,0.191,0.71
77.0,0.45,194,457,2390,115.2,0.057,3.31
37.2,0.46,150,457,2663,13.6,0.072,3.55
84.9,0.2,105,305,2390,115.2,0.191,2.96
36.6,0.3,152,315,2900,13.6,0.858,0.58
29.6,0.33,105,762,230,115.2,0.572,1.9
34.0,0.21,152,450,2900,99.0,0.338,2.49
28.79,0.31,100,582,2390,13.6,0.191,1.43
43.0,0.28,70,300,2930,120.0,0.057,2.23
39.0,0.2,194,300,2060,99.0,0.2,1.11
85.9,0.46,100,210,2060,128.5,1.27,1.08
77.2,0.33,194,582,2900,125.7,0.169,0.38
49.4,0.3,152,152,2900,13.6,1.2,3.68
47.3,0.23,70,762,230,13.6,0.8,1.06
110.2,0.23,70,762,230,128.5,0.191,2.12
36.6,0.31,150,762,2663,118.0,0.338,0.51
39.0,0.25,152,315,230,118.0,0.572,2.96
79.6,0.45,70,200,3732,125.7,0.338,3.11
29.6,0.3,70,762,2390,125.7,0.191,2.09
49.4,0.45,105,762,2060,13.6,0.858,1.89
74.0,0.24,194,762,2663,128.5,0.6,2.3
83.6,0.26,194,300,3732,99.0,3.86,1.87
83.0,0.45,150,457,2060,125.7,0.8,1.61
57.5,0.24,100,200,3732,125.7,1.2,3.39
35.5,0.35,152,457,2390,128.5,2.56,3.04
47.3,0.35,152,200,2900,125.7,0.169,1.64
85.9,0.24,70,300,2060,99.0,0.4,1.25
39.0,0.24,105,200,2900,116.0,0.072,3.4
57.5,0.31,105,457,2663,13.6,0.072,2.09
106.0,0.25,70,300,2663,118.0,0.858,2.01
83.0,0.31,100,305,2930,116.0,0.6,1.48
50.64,0.35,100,200,2900,118.0,1.27,0.95
107.3,0.27,70,200,2663,116.0,0.6,0.89
104.5,0.21,70,450,2900,116.0,0.286,1.56
77.9,0.26,194,200,2663,128.5,0.143,1.71
47.3,0.24,105,457,3732,13.6,0.572,0.94
101.18,0.23,152,305,2663,128.5,0.095,1.9
85.9,0.29,100,200,2900,116.0,0.143,4.78
29.6,0.24,152,200,2060,116.0,0.4,1.98
78.5,0.45,105,152,2390,115.2,0.572,2.34
39.0,0.3,152,457,2930,125.7,0.4,0.38
110.2,0.24,70,582,2663,125.7,0.095,0.6
102.2,0.3,100,305,2900,120.0,0.2,2.89
110.2,0.35,100,305,3732,128.5,0.6,0.39
102.0,0.26,152,315,2060,118.0,0.3,0.53
29.6,0.35,150,200,2060,99.0,1.2,1.58
37.2,0.35,100,152,2060,115.2,1.27,2.81
35.5,0.34,70,457,2060,13.6,0.057,0.58
35.5,0.28,152,200,2663,13.6,1.2,1.58
35.4,0.31,194,152,2060,125.7,1.2,0.89
83.6,0.24,152,315,2663,120.0,0.143,1.0
34.0,0.25,100,582,2900,99.0,0.338,3.73
39.2,0.23,100,200,3732,128.5,0.095,1.06
49.4,0.19,100,305,2663,99.0,1.2,0.58
35.4,0.26,152,457,2060,116.0,0.8,2.96
36.6,0.3,70,457,2390,125.7,0.191,3.45
102.2,0.31,105,200,2060,128.5,0.6,2.2
34.0,0.46,100,315,2060,120.0,0.6,1.08
102.0,0.31,70,200,2900,115.2,0.286,1.61
35.5,0.45,100,315,2060,118.0,0.8,2.34
102.2,0.34,152,315,2390,13.6,0.6,0.42
47.3,0.23,105,200,2663,128.5,0.3,2.23
83.0,0.26,100,305,2663,125.7,0.4,3.45
34.0,0.24,100,300,2930,128.5,0.572,1.56
36.6,0.34,150,200,2930,115.2,0.8,1.42
80.5,0.35,70,210,2663,116.0,0.858,0.58
77.9,0.35,152,582,2060,99.0,0.338,2.89
49.6,0.21,70,200,2663,115.2,0.572,0.46
77.2,0.46,105,300,2060,125.7,2.56,1.67
37.2,0.2,105,152,2060,116.0,0.4,3.55
83.6,0.35,152,762,2060,116.0,0.143,2.33
78.5,0.23,152,300,3732,125.7,0.143,1.48
51.1,0.31,100,315,3732,115.2,1.2,2.49
119.3,0.34,100,582,2060,116.0,0.095,3.39
119.3,0.34,194,457,2060,99.0,0.072,2.32
28.79,0.35,70,300,3732,116.0,0.072,2.53
110.1,0.35,105,300,2663,128.5,0.6,1.08
101.18,0.31,105,762,3732,120.0,1.2,1.78
74.0,0.31,152,200,2060,118.0,0.4,0.57
85.9,0.19,152,582,230,118.0,0.6,2.32
84.9,0.27,100,315,3732,13.6,0.286,1.92
39.0,0.23,152,200,2900,118.0,0.3,2.77
57.5,0.31,105,200,3732,125.7,0.338,0.88
35.4,0.3,100,152,230,115.2,1.27,3.55
37.0,0.23,152,300,2930,128.5,2.56,2.98
107.3,0.19,150,762,2663,99.0,0.095,1.06
36.6,0.34,152,152,2663,116.0,3.86,2.34
100.0,0.35,194,300,2663,116.0,0.3,0.6
119.3,0.35,152,305,3732,125.7,0.191,1.88
28.79,0.3,100,582,2663,128.5,0.2,1.95
80.5,0.46,70,200,2663,116.0,0.9,3.45
104.5,0.19,105,152,2900,116.0,0.572,3.8
78.0,0.45,150,457,3732,120.0,0.2,2.3
101.18,0.3,70,582,3732,115.2,0.4,2.21
50.64,0.26,100,582,2900,99.0,0.9,1.9
50.64,0.26,105,305,2930,118.0,0.507,0.51
39.0,0.24,100,300,2900,120.0,2.56,3.41
80.5,0.25,150,582,2390,115.2,1.27,3.5
77.0,0.24,100,210,3732,115.2,0.9,1.25
74.0,0.19,150,305,3732,116.0,2.56,2.89
78.5,0.23,194,200,230,125.7,3.86,3.22
34.0,0.33,194,450,2663,128.5,2.56,0.63
110.2,0.46,105,152,230,13.6,0.2,2.18
39.0,0.25,152,450,2390,13.6,1.2,1.06
36.6,0.45,100,582,2060,118.0,1.2,3.22
37.2,0.28,194,200,2390,125.7,0.338,0.45
84.9,0.3,194,200,3732,13.6,0.286,1.44
74.0,0.25,100,210,2663,118.0,0.572,1.3
107.3,0.45,150,200,3732,116.0,0.057,0.88
110.1,0.19,150,762,2060,115.2,1.27,2.6
100.0,0.33,152,152,2930,118.0,0.057,0.94
37.2,0.2,152,200,2060,13.6,0.191,1.09
43.0,0.19,152,210,2390,118.0,0.4,1.58
35.5,0.34,152,305,2060,128.5,0.6,3.04
104.5,0.45,194,210,230,99.0,0.072,2.48
119.3,0.34,100,450,3732,115.2,0.095,1.64
47.3,0.27,152,450,2390,125.7,0.143,1.58
78.0,0.28,70,200,2390,118.0,0.338,2.33
49.4,0.21,152,200,2060,128.5,1.2,3.04
104.5,0.45,150,582,2900,120.0,0.2,3.37
106.0,0.19,105,305,2900,13.6,0.572,1.64
49.4,0.19,100,200,2663,128.5,0.6,0.42
101.18,0.25,152,200,2390,13.6,0.8,2.21
34.0,0.28,105,305,2900,125.7,0.8,1.44
109.8,0.24,105,305,2930,116.0,0.286,0.95
106.0,0.26,194,300,2900,120.0,0.191,1.67
78.0,0.19,100,305,2900,128.5,0.858,1.56
85.9,0.27,70,152,2900,120.0,0.4,0.71
39.2,0.27,150,305,2930,13.6,3.86,0.51
77.0,0.3,100,210,2390,118.0,0.191,1.89
37.0,0.24,152,457,2060,116.0,0.572,4.6
39.2,0.45,100,305,2900,118.0,0.9,1.56
85.9,0.24,70,210,3732,128.5,3.86,1.75
74.0,0.29,105,450,2900,125.7,0.338,3.18
102.2,0.46,150,200,3732,13.6,1.27,1.09
74.0,0.29,105,457,3732,13.6,0.6,1.17
43.0,0.24,152,315,3732,99.0,0.572,2.38
102.2,0.35,105,305,2390,116.0,0.8,1.17
57.5,0.24,100,200,2663,116.0,2.56,1.3
77.0,0.3,194,762,2930,115.2,0.143,1.67
109.8,0.33,194,582,2390,128.5,0.338,0.51
51.1,0.29,105,200,2060,118.0,1.2,0.78
85.9,0.29,105,457,2900,116.0,0.095,1.68
51.1,0.23,70,200,2900,116.0,0.169,0.88
49.6,0.26,70,300,2390,99.0,0.338,2.47
84.9,0.25,152,210,2900,116.0,0.507,3.31
109.8,0.31,152,305,3732,99.0,2.56,3.39
43.0,0.19,100,152,2663,120.0,0.095,1.58
80.5,0.19,152,457,2663,13.6,1.2,1.48
110.1,0.23,150,582,2900,118.0,0.6,1.58
49.4,0.24,100,457,230,116.0,0.9,0.71
106.0,0.34,194,300,3732,13.6,0.338,1.85
29.6,0.23,152,300,2663,125.7,0.572,0.52
109.8,0.46,152,450,2060,116.0,0.169,2.49
57.5,0.27,194,457,2663,128.5,0.858,1.95
36.6,0.26,150,152,2060,99.0,0.572,0.37
101.18,0.26,100,457,2900,128.5,0.169,2.81
49.6,0.28,152,762,2060,13.6,2.56,0.78
102.2,0.45,70,457,2930,128.5,0.169,3.37
83.0,0.3,194,582,3732,115.2,0.507,1.88
107.3,0.24,150,305,230,128.5,0.191,0.36
102.2,0.21,152,315,230,128.5,1.27,1.87
39.2,0.2,100,300,2930,118.0,0.169,3.55
49.4,0.21,150,300,2060,128.5,2.56,3.37
109.8,0.26,105,450,2663,116.0,0.9,1.66
83.6,0.3,70,200,2390,118.0,0.4,2.48
35.4,0.34,100,315,230,13.6,0.8,2.11
47.3,0.29,152,457,2060,120.0,0.572,1.9
49.6,0.19,152,450,2930,128.5,0.858,2.6
101.18,0.29,70,152,2060,128.5,0.2,1.09
101.18,0.29,100,450,2930,13.6,2.56,0.6
114.7,0.34,152,450,2060,125.7,0.6,3.39
78.5,0.31,152,315,2930,115.2,1.27,2.21
39.0,0.34,194,200,2060,118.0,0.169,3.45
37.2,0.45,150,315,2900,128.5,0.9,0.94
28.79,0.2,150,300,2900,13.6,1.27,1.42
34.0,0.21,152,152,2060,13.6,0.169,1.63
28.79,0.34,152,152,3732,115.2,0.143,1.0
37.2,0.21,194,457,2390,120.0,0.3,2.48
49.6,0.26,194,300,2663,13.6,0.072,0.42
39.0,0.35,152,300,2930,116.0,0.4,4.6
35.4,0.25,100,305,2930,13.6,0.572,1.49
114.7,0.24,152,582,2900,99.0,1.2,2.81
47.3,0.3,100,200,2663,118.0,0.286,1.67
49.6,0.24,105,315,2060,120.0,0.286,0.51
107.3,0.31,105,315,230,115.2,0.3,4.39
83.0,0.21,100,582,2390,116.0,0.191,1.78
83.0,0.31,152,152,3732,99.0,0.9,1.29
37.0,0.27,100,305,2390,128.5,0.072,3.4
110.2,0.3,100,582,2060,118.0,0.057,1.45
83.0,0.23,152,300,2390,125.7,0.191,1.11
110.2,0.24,194,305,2390,118.0,0.9,1.0
110.2,0.3,70,457,2663,125.7,0.9,1.96
82.4,0.24,194,152,230,99.0,0.143,1.88
28.79,0.25,100,200,2900,13.6,0.8,1.64
57.5,0.28,100,200,2390,115.2,0.6,1.61
29.6,0.25,105,210,2663,128.5,0.507,2.89
109.8,0.21,152,152,2900,118.0,0.4,3.1
101.18,0.26,152,210,2060,99.0,0.8,2.23
83.6,0.46,105,457,2930,115.2,0.057,0.45
39.0,0.27,100,300,2930,99.0,0.143,3.55
37.2,0.28,194,305,2930,118.0,0.858,2.96
35.5,0.21,70,152,2390,99.0,0.057,1.48
46.43,0.19,105,315,2060,128.5,0.858,1.17
77.0,0.24,194,152,2390,13.6,0.057,1.02
119.3,0.34,194,210,2930,125.7,0.3,0.53
39.2,0.46,100,315,2060,99.0,0.507,0.57
77.0,0.25,152,450,3732,125.7,1.2,2.31
37.0,0.46,194,582,2060,118.0,0.143,1.71
57.5,0.2,152,582,2900,116.0,0.072,3.22
43.0,0.2,100,450,2663,13.6,0.507,1.06
110.2,0.2,100,305,2060,125.7,0.8,3.55
36.6,0.3,152,315,2390,118.0,0.072,1.45
74.0,0.26,150,152,230,118.0,0.6,1.44
85.9,0.25,100,450,2060,116.0,0.3,0.78
80.5,0.35,100,152,230,13.6,0.191,2.86
85.9,0.26,100,200,3732,118.0,0.4,0.39
78.5,0.2,100,152,2900,99.0,0.3,0.42
37.2,0.25,194,152,2663,120.0,0.3,1.06
84.9,0.26,105,457,230,128.5,0.286,3.47
102.2,0.19,100,200,2060,115.2,0.191,0.51
37.2,0.26,100,152,3732,128.5,0.2,2.2
37.2,0.3,150,762,3732,99.0,0.191,2.47
46.43,0.45,100,152,2390,99.0,0.2,1.42
106.0,0.26,152,582,2663,118.0,0.9,1.58
74.0,0.21,100,210,2060,128.5,0.338,0.58
102.0,0.2,194,582,2390,125.7,0.8,2.77
78.0,0.35,105,762,2060,128.5,0.169,0.42
100.0,0.24,100,300,2900,116.0,0.6,3.37
57.5,0.34,150,457,2930,115.2,0.6,3.5
78.5,0.2,70,300,2390,128.5,0.507,0.57
119.3,0.33,152,305,2930,13.6,0.3,1.49
100.0,0.19,152,305,2900,125.7,1.27,3.21
74.0,0.28,152,457,2060,125.7,0.4,0.52
85.9,0.45,152,200,2900,116.0,0.4,2.31
84.9,0.45,105,450,2060,116.0,0.6,1.75
107.3,0.26,150,450,2900,13.6,0.338,1.7
36.6,0.24,100,200,3732,115.2,0.2,1.49
78.0,0.46,70,200,3732,118.0,0.338,0.82
106.0,0.35,105,450,230,99.0,0.191,0.52
78.5,0.35,70,450,2663,120.0,0.3,1.48
107.3,0.2,152,305,2663,128.5,2.56,1.58
110.1,0.3,100,210,3732,115.2,0.3,4.6
101.18,0.33,194,300,2930,118.0,0.9,0.95
107.3,0.27,100,582,2930,118.0,0.3,2.2
43.0,0.34,150,450,3732,118.0,0.143,1.42
101.18,0.29,70,152,2390,120.0,1.2,2.96
35.4,0.33,152,200,2390,125.7,0.095,1.98
84.9,0.31,105,450,2390,120.0,0.8,1.97
114.7,0.21,70,582,2663,118.0,2.56,0.94
110.1,0.3,152,152,2060,115.2,0.072,2.2
107.3,0.25,105,315,2663,128.5,0.6,1.63
51.1,0.2,194,582,2060,115.2,0.3,0.51
77.2,0.27,70,300,2900,115.2,0.3,2.32
49.4,0.28,70,315,2390,99.0,0.6,2.38
77.2,0.33,194,305,2900,125.7,0.338,1.88
114.7,0.27,100,457,3732,120.0,0.572,3.8
78.0,0.19,70,152,2060,120.0,0.4,1.58
78.0,0.27,152,305,2930,116.0,0.3,2.77
39.0,0.26,152,582,3732,125.7,0.6,1.78
114.7,0.25,100,210,3732,120.0,0.057,0.51
78.5,0.3,194,152,2060,115.2,0.3,1.98
109.8,0.26,70,200,3732,118.0,0.4,2.21
101.18,0.2,152,762,2663,128.5,0.572,2.96
78.0,0.2,152,300,230,118.0,2.56,1.15
106.0,0.25,105,300,2900,125.7,0.6,1.97
80.5,0.33,152,457,2390,120.0,0.6,0.93
78.5,0.31,194,300,2663,128.5,0.6,2.23
49.4,0.23,152,582,2900,116.0,0.143,1.87
28.79,0.28,100,457,2390,120.0,0.2,3.37
100.0,0.35,152,457,2390,115.2,0.3,1.48
107.3,0.21,194,762,2900,13.6,0.072,1.7
102.0,0.3,100,457,2390,99.0,0.338,1.06
109.8,0.2,194,582,2930,115.2,0.572,3.39
100.0,0.23,194,300,3732,120.0,0.3,2.21
110.2,0.24,105,315,2663,13.6,1.27,3.22
34.0,0.29,152,200,3732,128.5,0.191,1.11
35.5,0.34,100,300,2900,115.2,0.8,2.3
77.9,0.26,70,582,3732,128.5,0.858,1.63
102.2,0.35,100,762,2390,118.0,3.86,0.82
46.43,0.29,100,152,2663,128.5,0.072,0.45
78.5,0.34,194,152,2663,116.0,2.56,2.31
82.4,0.3,194,200,230,118.0,0.338,1.02
36.6,0.46,100,300,3732,13.6,0.4,0.6
83.6,0.21,105,200,2390,13.6,0.143,1.43
104.5,0.35,105,305,230,120.0,0.072,1.48
109.8,0.24,100,582,2060,118.0,1.2,2.23
77.2,0.24,152,200,2060,13.6,0.6,1.66
114.7,0.2,100,305,2900,125.7,0.3,3.8
49.6,0.23,70,582,2663,13.6,0.169,1.88
80.5,0.23,152,200,2930,13.6,0.338,1.71
50.64,0.26,70,300,2900,115.2,0.858,0.39
43.0,0.25,70,200,2060,116.0,0.6,2.3
84.9,0.33,100,457,2663,13.6,0.072,0.51
39.2,0.19,152,762,230,13.6,0.572,2.33
101.18,0.25,150,200,230,99.0,0.572,3.37
34.0,0.3,194,582,2060,128.5,0.143,3.47
106.0,0.3,194,210,2390,116.0,0.6,0.47
36.6,0.25,70,152,2663,118.0,0.6,1.08
57.5,0.28,150,315,230,118.0,0.4,2.34
102.2,0.31,105,582,2900,116.0,0.6,0.57
101.18,0.21,152,210,2930,118.0,0.143,2.07
78.5,0.26,100,305,2663,115.2,0.507,2.38
28.79,0.35,150,210,2663,120.0,0.8,0.6
36.6,0.23,150,457,2390,125.7,1.2,3.37
55.2,0.26,100,762,2930,116.0,0.169,3.4
80.5,0.29,105,582,3732,99.0,0.8,3.4
85.9,0.25,152,582,2390,116.0,0.4,3.18
78.5,0.3,70,457,2060,125.7,0.191,3.18
101.18,0.24,100,200,2930,128.5,0.286,0.6
74.0,0.3,152,315,2930,120.0,0.338,3.4
109.8,0.19,152,210,2663,99.0,0.9,1.42
82.4,0.23,152,305,2663,116.0,0.572,1.63
39.2,0.3,100,582,2663,120.0,0.8,0.6
78.0,0.27,100,457,230,116.0,0.8,2.81
78.5,0.46,152,305,2900,118.0,0.572,0.37
77.2,0.29,152,315,2900,125.7,0.286,0.39
102.2,0.25,70,305,2060,115.2,0.9,1.44
119.3,0.23,152,450,2900,116.0,0.338,2.3
110.1,0.21,152,200,2390,118.0,0.072,3.15
36.6,0.19,70,450,2900,118.0,2.56,3.8
104.5,0.31,150,450,2900,99.0,0.507,2.47
80.5,0.26,105,457,2060,115.2,0.6,2.96
51.1,0.27,152,200,2663,128.5,1.27,0.91
77.9,0.2,152,210,2663,13.6,0.572,1.89
82.4,0.25,150,315,2900,115.2,0.8,3.45
43.0,0.31,194,300,2663,120.0,0.6,4.78
104.5,0.19,105,200,2390,116.0,0.095,3.55
36.6,0.26,100,457,2663,118.0,2.56,0.57
57.5,0.34,100,582,2390,116.0,0.572,1.15
119.3,0.24,194,315,2900,99.0,0.057,2.01
35.5,0.21,70,582,3732,115.2,0.8,1.97
39.2,0.33,70,152,2390,116.0,0.858,1.17
83.6,0.45,70,200,230,116.0,0.191,2.23
77.0,0.25,100,305,2060,99.0,0.191,1.71
55.2,0.26,70,210,2060,99.0,0.8,2.38
39.2,0.46,70,300,2930,128.5,0.169,0.52
50.64,0.26,194,200,2930,128.5,0.8,3.1
37.0,0.31,150,305,2900,116.0,0.9,0.54
85.9,0.45,105,152,2390,13.6,0.191,4.39
39.2,0.2,100,300,2900,118.0,0.9,3.47
39.0,0.27,152,450,2390,120.0,1.27,3.18
74.0,0.3,100,152,2060,115.2,0.057,0.71
101.18,0.24,105,210,2060,118.0,0.338,0.58
109.8,0.19,70,450,2900,13.6,1.27,3.39
109.8,0.23,152,305,3732,125.7,2.56,1.98
47.3,0.27,70,200,2930,118.0,0.286,2.09
83.0,0.24,105,305,3732,118.0,0.4,1.06
78.5,0.33,100,762,2900,118.0,0.286,1.87
74.0,0.21,100,200,2060,128.5,0.095,0.57
55.2,0.33,150,315,2390,125.7,0.169,1.97
77.2,0.26,100,315,230,120.0,2.56,0.82
106.0,0.46,152,210,2900,118.0,3.86,0.42
77.0,0.31,152,457,2060,115.2,0.507,1.78
29.6,0.35,194,200,3732,120.0,0.3,2.01
57.5,0.27,152,300,3732,99.0,0.169,1.64
106.0,0.3,70,762,2930,118.0,2.56,3.1
39.2,0.19,152,152,2900,99.0,0.8,0.63
49.4,0.2,105,210,2390,99.0,0.6,1.58
37.0,0.28,152,210,2663,116.0,1.2,0.39
49.4,0.21,70,300,2060,128.5,0.191,2.95
49.4,0.28,100,457,2900,116.0,0.191,1.78
49.4,0.23,100,210,2663,120.0,0.6,0.45
85.9,0.2,105,152,2900,125.7,0.8,1.44
85.9,0.24,100,762,2900,125.7,0.4,0.58
79.6,0.19,100,200,2390,118.0,0.8,2.49
83.6,0.28,70,200,3732,128.5,1.2,3.01
46.43,0.31,150,582,2900,118.0,1.2,0.91
80.5,0.21,105,305,3732,118.0,0.191,1.89
34.0,0.31,70,200,2930,118.0,1.2,1.3
119.3,0.27,152,200,2060,99.0,0.338,3.48
35.4,0.46,105,152,2930,13.6,0.095,1.06
43.0,0.26,194,582,2930,116.0,0.507,0.95
51.1,0.35,100,210,230,118.0,0.095,1.63
74.0,0.2,100,450,3732,128.5,0.169,0.57
49.6,0.45,150,200,2930,128.5,0.4,4.78
82.4,0.2,194,152,2900,116.0,0.6,1.3
102.2,0.19,100,457,2390,13.6,0.507,1.62
37.0,0.2,105,315,3732,125.7,0.572,3.5
49.4,0.31,100,152,2390,118.0,1.27,2.18
29.6,0.34,152,200,2060,99.0,0.143,0.95
102.0,0.25,152,315,2060,128.5,0.143,2.34
78.5,0.19,100,457,2930,99.0,0.095,1.95
77.9,0.28,100,305,2060,128.5,1.2,2.05
50.64,0.24,150,315,2390,125.7,0.8,2.01
49.6,0.27,152,152,3732,128.5,0.9,1.56
49.4,0.28,70,582,2663,115.2,0.6,0.52
101.18,0.45,105,200,3732,115.2,0.8,1.45
110.2,0.31,194,200,2060,128.5,0.169,1.68
114.7,0.33,100,210,3732,99.0,0.6,1.42
43.0,0.46,105,762,2390,115.2,0.169,0.94
102.2,0.45,105,305,3732,13.6,0.6,1.78
77.9,0.45,194,305,2663,99.0,0.169,1.95
82.4,0.33,70,450,2663,120.0,0.572,2.53
57.5,0.2,152,762,2900,99.0,1.2,0.93
49.6,0.24,105,300,2060,116.0,0.858,2.81
49.4,0.27,105,582,2930,118.0,0.072,0.95
85.9,0.3,152,582,2390,116.0,0.572,2.3
101.18,0.21,152,582,2060,115.2,0.3,3.11
102.0,0.34,152,315,3732,128.5,3.86,1.67
104.5,0.21,152,200,2060,115.2,0.191,1.11
83.0,0.26,150,457,230,116.0,0.8,2.11
57.5,0.19,70,305,2060,116.0,0.4,3.45
35.4,0.3,70,457,3732,116.0,3.86,0.58
109.8,0.45,194,210,3732,120.0,1.2,2.2
109.8,0.35,70,450,2390,118.0,0.191,0.47
37.0,0.26,70,457,2900,99.0,0.8,0.39
106.0,0.3,100,152,2663,116.0,0.4,0.82
37.0,0.29,152,152,2663,118.0,1.27,1.66
50.64,0.28,105,457,2930,13.6,0.507,1.11
34.0,0.31,152,582,2663,115.2,0.6,1.08
49.4,0.34,70,582,2060,115.2,0.9,2.48
50.64,0.26,152,210,2663,116.0,0.3,4.6
101.18,0.24,70,300,2060,120.0,0.9,1.48
77.2,0.2,194,762,2390,120.0,0.338,1.92
106.0,0.3,105,152,2930,118.0,0.169,0.89
43.0,0.19,100,582,2060,99.0,0.169,3.73
107.3,0.28,105,152,2663,128.5,0.169,1.44
82.4,0.2,105,210,2663,116.0,0.6,0.71
37.2,0.46,105,315,2390,120.0,0.858,1.44
51.1,0.29,152,315,2663,128.5,0.2,1.47
85.9,0.2,70,200,2390,99.0,0.143,0.63
100.0,0.34,100,200,2390,120.0,0.572,2.6
100.0,0.45,150,210,2390,120.0,0.072,0.39
77.9,0.33,152,200,2930,13.6,0.858,0.82
34.0,0.2,194,762,3732,120.0,0.572,3.01
119.3,0.35,100,305,2390,116.0,0.572,2.86
35.4,0.31,100,582,2390,120.0,0.286,2.95
82.4,0.33,100,305,2663,99.0,0.9,2.38
101.18,0.25,70,762,2663,125.7,0.6,1.43
34.0,0.35,70,300,2060,115.2,0.572,2.21
110.1,0.45,194,762,2663,116.0,0.072,2.09
39.2,0.27,152,457,2930,13.6,0.9,0.95
109.8,0.23,105,315,3732,128.5,0.286,2.11
35.4,0.19,150,762,2390,116.0,0.6,2.89
77.9,0.34,100,152,230,118.0,2.56,1.85
43.0,0.31,70,305,2930,115.2,0.9,1.67
35.4,0.25,100,305,2390,118.0,0.057,3.68
102.2,0.25,70,457,2930,120.0,0.2,2.12
39.2,0.26,152,762,2663,99.0,0.6,0.52
77.0,0.45,100,315,2390,13.6,0.169,0.91
